Carga,Placa,Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Endereço de Entrega,Bairro de Entrega,Cidade de Entrega,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Veiculo,Data Roteirizacao
,FTY6B82,3728437,206456,ACOUGUE MUNDO DAS CARNES LTDA,Nenhum,"Rua ROQUE BARBOSA DE MIRANDA, 112",JARDIM DOS IPES,Itaquaquecetuba,10,200,-23.48611,-46.34833,78,2025-04-17 12:55:48
,FTY6B82,3728100,10855,ERENITO COMERCIO DE PASTEL LTDA,Nenhum,"Rua CANA VERDE, 110",JARDIM SILVESTRE,Itaquaquecetuba,35,700,-23.48611,-46.34833,78,2025-04-17 12:55:48
,FTY6B82,3728381,203161,CENTRAL DE CARNES NOVA ITAQUA LTDA,Rede Nobreza,"Estrada PEDRO DA CUNHA ALBUQUERQUE LOPES, 2020",Perobal,Itaquaquecetuba,5,100,-23.4254939,-46.3358918,78,2025-04-17 12:55:48
,FTY6B82,3728206,165001,LUCIANA SALOMÃO SOARES,Nenhum,"Rua Ipacaeta, 981",Jardim Presidente Dutra,Guarulhos,8,160,-23.4181485,-46.4345825,78,2025-04-17 12:55:48
,FTY6B82,3727834,3685,AVÍCOLA BELA VISTA LTDA,Nenhum,"Rua HUMBERTO BROCHINI, 155",Jardim Bela Vista,Guarulhos,7,140,-23.437833,-46.5106224,78,2025-04-17 12:55:48
,FTY6B82,3728233,213873,MERCADO TWO L2 LTDA,Nenhum,"Rua SARUTAIA, 759",JARDIM SAO PAULO,Guarulhos,6,120,-23.4388407,-46.526703,78,2025-04-17 12:55:48
,FTY6B82,3727900,181508,FAISÃO REAL COM FRANGOS MERC ROTIS LTDA,Nenhum,"Rua CACHOEIRA, 1291",Jardim Moreira,Guarulhos,7,135,-23.4387171,-46.5483602,78,2025-04-17 12:55:48
,FTY6B82,3727786,206088,SANDRA REGINA MARTINIANO DE BRITO,Nenhum,"Avenida DOUTOR TIMOTEO PENTEADO, 1804",VILA HULDA,Guarulhos,10,200,-23.4512951,-46.5432541,78,2025-04-17 12:55:48
,FTY6B82,3728235,214940,FAMILIA II SUPERMERCADO LTDA,Nenhum,"Praça NOSSA SENHORA APARECIDA, 275",JARDIM VILA GALVAO,Guarulhos,10,195,-23.4661663,-46.5594452,78,2025-04-17 12:55:48
,FTY6B82,3727800,207600,AVICOLA E LATICINIOS MORENINHO LTDA,Nenhum,"Avenida MILTON DA ROCHA, 291",Vila Sabrina,São Paulo,8,160,-23.489062,-46.5744038,78,2025-04-17 12:55:48
,FTY6B82,3727853,14080,MEGA DIAS SUPERMERCADOS LTDA,Nenhum,"Avenida CONCEIÇÃO, 3072",Vila Maria,São Paulo,29,580,-23.4980602,-46.5743078,78,2025-04-17 12:55:48
,FTY6B82,3726933,208730,KIPAN IND.COM.DE PRODUTOS ALIMENTICIOS L,Nenhum,"Rua CECILIA MEIRELES, 537",JARDIM JAPAO,São Paulo,20,400,-23.5118251,-46.5797465,78,2025-04-17 12:55:48
,FTY6B82,3728005,4367,COMERCIAL  SAKAGAWA LTDA - EPP,Nenhum,"Rua AMAMBAI, 1215",Vila Maria,São Paulo,13,260,-23.5177931,-46.5853263,78,2025-04-17 12:55:48
,FTY6B82,3727750,166581,LANCHONETE SANTO EDUARDO LTDA,Nenhum,"Avenida GUILHERME COTCHING, 1746",Vila Maria,São Paulo,6,120,-23.5147153,-46.5866614,78,2025-04-17 12:55:48
,FTY6B82,3728178,186020,COMERCIO DE CARNES MARFA LTDA,Nenhum,"Avenida EDE, 493",Vila Ede,São Paulo,6,120,-23.4949166,-46.5925345,78,2025-04-17 12:55:48
,FTY6B82,3727831,11648,EDOFRANGO AVICOLA LTDA,Nenhum,"Rua SODRE E SILVA, 188",Jardim Brasil,São Paulo,23,460,-23.4801215,-46.5825591,78,2025-04-17 12:55:48
,FTY6B82,3728451,8991,SUPERMERCADOS BERGAMINI LTDA.,Bergamini,"Avenida LUÍS STAMATIS, 431",Jaçanã,São Paulo,207,4025,-23.4669058,-46.5811562,78,2025-04-17 12:55:48
,FTY6B82,3727790,215480,37.390.347 ERICA ALVES SANTOS,Nenhum,"Avenida MAZZEI, 1160",Vila Mazzei,São Paulo,9,190,-23.4723641,-46.5997586,78,2025-04-17 12:55:48
,FTY6B82,3727932,214494,TRIMAIS SUPERMERCADOS S/A,Bergamais,"Avenida CORONEL SEZEFREDO FAGUNDES, 4800",Tucuruvi,São Paulo,79,1560,-23.4760075,-46.6092907,78,2025-04-17 12:55:48
,FTY6B82,3727931,202034,TRIMAIS SUPERMERCADOS S/A,Bergamais,"Avenida TUCURUVI, 248",Tucuruvi,São Paulo,135,2680,-23.4787794,-46.6088101,78,2025-04-17 12:55:48
,FTY6B82,3727981,203055,SANTA RITA CASA DE CARNES LTDA,Nenhum,"Rua JULIA LOPES DE ALMEIDA, 288",VILA PAULICEIA,São Paulo,5,100,-23.4883423,-46.6142367,78,2025-04-17 12:55:48
,FTY6B82,3727874,207683,SUPERMERCADOS MAMBO LTDA.,Mambo,"Rua VOLUNTARIOS DA PATRIA, S/N",Santana,São Paulo,23,455,-23.4944879,-46.6263702,78,2025-04-17 12:55:48
,FTY6B82,3728259,39,DIAS PASTORINHO S/A COMÉRCIO E INDUSTRIA,Dias Pastorinho,"Rua CONSELHEIRO MOREIRA DE BARROS, 240",Santana,São Paulo,11,215,-23.4965576,-46.6280895,78,2025-04-17 12:55:48
,FTY6B82,3727751,180887,LANCHONETE BURGUERLEME LTDA,Nenhum,"Avenida Braz Leme, 2040",Santana,São Paulo,6,120,-23.5048653,-46.6409346,78,2025-04-17 12:55:48
,FTY6B82,3728072,11774,SUPER MERCADO KANASHIRO LTDA,Nenhum,"Avenida IMIRIM, 1195",Imirim,São Paulo,5,100,-23.4943617,-46.6460109,78,2025-04-17 12:55:48
,FTY6B82,3727731,211171,MERCADO WC LTDA,Nenhum,"Avenida CONSELHEIRO MOREIRA DE BARROS, 3882",Lauzane Paulista,São Paulo,11,220,-23.47861,-46.64304,78,2025-04-17 12:55:48
,FTY6B82,3727852,10700,ANDORINHA SUPERMERCADO LTDA,Andorinha,"Avenida PARADA PINTO, 2262",Vila Nova Cachoeirinha,São Paulo,15,300,-23.47337,-46.6669789,78,2025-04-17 12:55:48
,FTY6B82,3728312,200818,CASA DE CARNES BOI DA CACHOEIRINHA LTDA,Nenhum,"Avenida PARADA PINTO, 1139",Vila Nova Cachoeirinha,São Paulo,12,240,-23.47337,-46.6669789,78,2025-04-17 12:55:48
,FTY6B82,3728168,205552,SUPERMERCADO BRUHVIK LTDA,Nenhum,"Rua BENEDITO EGIDIO BARBOSA, 176",BRASILANDIA,São Paulo,18,360,-23.4598445,-46.6986945,78,2025-04-17 12:55:48
,FTY6B82,3728268,5579,CASA DE CARNES PALHARES LTDA ME,Nenhum,"Rua Benedito Egídio Barbosa, 11",Vila Brasilândia,São Paulo,6,120,-23.4598445,-46.6986945,78,2025-04-17 12:55:48
,FTY6B82,3728164,5221,CASA DE CARNES RIBAS LTDA.ME,Nenhum,"Avenida Manoel Bolivar, 167",Brasilândia,São Paulo,9,180,-23.4571922,-46.6994497,78,2025-04-17 12:55:48
,FTY6B82,3726711,12225,AVÍCOLA MIGUEL DE CASTRO EIRELI,Nenhum,"Avenida MIGUEL DE CASTRO, 1725",Pirituba,São Paulo,15,295,-23.4716407,-46.721,78,2025-04-17 12:55:48
